Timestamp,Open,High,Low,Close,Volume
1578038400000,6244.33,6478.91,6244.33,6478.91,0.130778
1578039300000,6478.91,6478.91,6478.91,6478.91,0.0
1578040200000,6450.0,6478.91,6450.0,6478.91,0.17801799999999998
1578041100000,6506.73,6506.73,6506.73,6506.73,0.0016589999999999999
1578042000000,6548.22,6551.62,6548.22,6551.62,0.05
1578042900000,6551.62,6551.62,6551.62,6551.62,0.0
1578043800000,6551.62,6551.62,6551.62,6551.62,0.0
1578044700000,6551.62,6551.62,6551.62,6551.62,0.0
1578045600000,6565.43,6565.43,6565.43,6565.43,0.001578
1578046500000,6565.43,6565.43,6565.43,6565.43,0.0
1578047400000,6565.43,6565.43,6565.43,6565.43,0.0
1578048300000,6565.38,6565.43,6565.38,6565.43,0.099878
1578049200000,6565.43,6586.83,6535.82,6535.82,0.57709
1578050100000,6582.56,6607.39,6542.38,6596.41,1.33025
1578051000000,6559.38,6592.73,6556.84,6581.57,0.171836
1578051900000,6581.57,6581.57,6581.57,6581.57,0.0
1578052800000,6581.57,6581.57,6581.57,6581.57,0.0
1578053700000,6581.57,6581.57,6581.57,6581.57,0.0
1578054600000,6581.57,6581.57,6581.57,6581.57,0.0
1578055500000,6581.57,6581.57,6581.57,6581.57,0.0
1578056400000,6552.79,6552.79,6548.5,6549.42,0.086271
1578057300000,6549.42,6549.42,6549.42,6549.42,0.0
1578058200000,6549.42,6549.42,6549.42,6549.42,0.0
1578059100000,6581.57,6581.57,6581.57,6581.57,0.012607
1578060000000,6581.57,6581.57,6581.57,6581.57,0.0
1578060900000,6505.82,6505.82,6505.82,6505.82,0.00169
1578061800000,6505.82,6505.82,6505.82,6505.82,0.0
1578062700000,6505.82,6505.82,6505.82,6505.82,0.0
1578063600000,6505.82,6505.82,6505.82,6505.82,0.0
1578064500000,6494.83,6494.83,6494.83,6494.83,0.002
1578065400000,6494.83,6505.82,6494.83,6494.83,0.071577
1578066300000,6505.82,6505.82,6505.82,6505.82,0.028643
1578067200000,6505.82,6505.82,6505.82,6505.82,0.0
1578068100000,6608.59,6608.59,6608.59,6608.59,0.002242
1578069000000,6599.72,6599.72,6599.72,6599.72,0.0018100000000000002
1578069900000,6599.71,6599.71,6599.71,6599.71,0.001666
1578070800000,6599.71,6599.72,6599.71,6599.72,0.042637
1578071700000,6599.72,6599.72,6599.72,6599.72,0.0
1578072600000,6593.54,6593.54,6593.54,6593.54,0.005240000000000001
1578073500000,6566.96,6566.96,6566.96,6566.96,0.044965
1578074400000,6566.96,6566.96,6566.96,6566.96,0.0
1578075300000,6566.96,6566.96,6566.96,6566.96,0.0
1578076200000,6566.96,6573.79,6566.96,6573.79,0.007088
1578077100000,6573.79,6573.79,6573.79,6573.79,0.0
1578078000000,6542.05,6542.05,6542.05,6542.05,0.001638
1578078900000,6550.23,6550.23,6550.23,6550.23,0.005
1578079800000,6550.23,6550.23,6550.23,6550.23,0.194344
1578080700000,6550.23,6550.23,6550.23,6550.23,0.0
1578081600000,6567.81,6567.81,6550.23,6550.23,0.284559
1578082500000,6550.23,6550.23,6550.23,6550.23,0.0
1578083400000,6550.23,6550.23,6550.23,6550.23,0.0
1578084300000,6550.23,6550.23,6543.35,6543.35,0.008182
1578085200000,6543.35,6543.35,6543.35,6543.35,0.0
1578086100000,6543.35,6543.35,6543.35,6543.35,0.0
1578087000000,6543.35,6543.35,6543.35,6543.35,0.0
1578087900000,6543.35,6543.35,6543.35,6543.35,0.194353
1578088800000,6543.35,6543.35,6543.35,6543.35,0.0
1578089700000,6543.35,6543.35,6543.35,6543.35,0.0
1578090600000,6516.32,6516.32,6516.32,6516.32,0.0015949999999999998
1578091500000,6516.32,6516.32,6516.32,6516.32,0.007519
1578092400000,6535.13,6535.13,6535.13,6535.13,0.0015600000000000002
1578093300000,6540.28,6568.73,6540.28,6568.73,0.010707
1578094200000,6568.73,6568.73,6568.73,6568.73,0.0
1578095100000,6568.73,6568.73,6568.73,6568.73,0.0
1578096000000,6558.96,6559.15,6558.96,6559.15,0.003565
1578096900000,6559.15,6559.15,6559.15,6559.15,0.0
1578097800000,6559.15,6559.15,6559.15,6559.15,0.0
1578098700000,6559.15,6559.15,6559.15,6559.15,0.0
1578099600000,6559.15,6559.15,6559.15,6559.15,0.0
1578100500000,6559.15,6559.15,6559.15,6559.15,0.0
1578101400000,6559.15,6559.15,6559.15,6559.15,0.0
1578102300000,6549.84,6549.84,6549.84,6549.84,0.00353
1578103200000,6549.84,6549.84,6549.84,6549.84,0.0
1578104100000,6549.84,6549.84,6549.84,6549.84,0.0
1578105000000,6549.84,6549.84,6549.84,6549.84,0.0
1578105900000,6549.84,6549.84,6549.84,6549.84,0.0
1578106800000,6549.84,6553.5,6549.84,6553.5,0.009169
1578107700000,6548.28,6548.28,6533.6,6533.6,0.0687
1578108600000,6533.6,6533.6,6533.6,6533.6,0.0
1578109500000,6533.6,6533.6,6533.6,6533.6,0.0
1578110400000,6533.6,6533.6,6533.6,6533.6,0.0
1578111300000,6533.6,6533.6,6533.6,6533.6,0.0
1578112200000,6533.6,6533.6,6533.6,6533.6,0.0
1578113100000,6533.6,6533.6,6533.6,6533.6,0.0
1578114000000,6533.6,6533.6,6533.6,6533.6,0.0
1578114900000,6533.6,6533.6,6533.6,6533.6,0.0
