window,accuracy
1,0.5174
2,0.5062
3,0.5073
4,0.5171
5,0.5051
6,0.5118
7,0.5048 
8,0.5018
9,0.4939
10,0.5241
11,0.5316
12,0.5328
13,0.5383
14,0.5267
15,0.5180
16,0.5172
17,0.5300
18,0.5482
19,0.5272
20,0.5328
21,0.5301
22,0.5231
23,0.5312
24,0.5213
25,0.5423
26,0.5386
27,0.5285
28,0.5300
29,0.5210
30,0.5347
